Date/Time,State,Command
2016.08.30 22:05:41,Receive,(237.0 000.0 240.0 000 50.0 26.6 29.0 00001000
2016.08.30 22:05:40,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:40,Receive,(237.0 000.0 239.0 000 50.0 26.6 29.0 00001000
2016.08.30 22:05:39,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:39,Receive,(235.0 000.0 239.0 000 50.0 26.4 29.0 00001000
2016.08.30 22:05:38,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:05:38,Receive,#                1500VA     V6.7      
2016.08.30 22:05:37,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:37,Receive,(237.0 000.0 240.0 000 50.0 26.4 29.0 00001000
2016.08.30 22:05:36,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:05:36,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:05:35,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:35,Receive,(237.0 000.0 242.0 000 50.0 26.4 29.0 00001000
2016.08.30 22:05:34,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:34,Receive,(239.0 000.0 240.0 000 50.0 26.4 29.0 00001000
2016.08.30 22:05:33,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:33,Receive,(237.0 000.0 240.0 000 50.0 26.4 29.0 00001000
2016.08.30 22:05:32,Send,80 06 0c 03 09 04 00 66 
2016.08.30 22:05:32,Receive,
2016.08.30 22:05:31,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:31,Receive,(237.0 000.0 240.0 000 50.0 26.4 29.0 00001000
2016.08.30 22:05:30,Send,80 06 0d 03 09 04 00 66 
2016.08.30 22:05:30,Receive,#230.0 3.9 24.00 50.0
2016.08.30 22:05:29,Send,80 06 03 03 09 04 00 66 
2016.08.30 22:05:29,Receive,(237.0 000.0 240.0 000 50.0 26.4 29.0 00001000
